178,359.18379696194535,12571.432893668087,4,5,B011,7-295-394
6,462.74074815170536,16195.926185309687,3,4,B009,7-295-394
2,462.74074815170536,16195.926185309687,3,4,B003,7-295-394
3,462.74074815170536,16195.926185309687,3,4,B004,7-295-394
4,462.74074815170536,23137.037407585267,3,4,B005,7-295-394
5,462.74074815170536,16195.926185309687,3,4,B006,7-295-394
206,462.74074815170536,16195.926185309687,3,4,B001,7-295-394
237,197.9747458642137,6929.11610524748,3,2,B003,7-295-394
239,197.9747458642137,6929.11610524748,3,2,B003,7-295-394
276,146.21901381147393,5117.665483401587,3,5,B004,7-295-394
308,13.0,455.0,3,6,B004,7-295-394
339,118.82760622010359,5941.3803110051795,3,7,B005,7-295-394
405,197.9747458642137,6929.11610524748,3,2,B004,7-295-394
438,124.0,4340.0,8,1,B014,7-295-394
471,146.21901381147393,5117.665483401587,3,5,B004,7-295-394
536,13.0,455.0,3,6,B004,7-295-394
505,118.82760622010359,5941.3803110051795,3,7,B005,7-295-394
626,136.31214179228496,4770.924962729973,1,2,B044,1-545-956
